accuracy,data_balance_entropy,inter_agg_delay,intra_agg_delay,num_offload_actions,offload_actions,offload_delay,round,total_delay,total_offloaded_samples,train_delay,train_loss,weight_divergence
0.0894,0.99841,0.0,0.0,0,,0.0,0,0.0,0,0.0,2.313267,0.0
0.3356,0.99841,1,1,0,,0.0,1,4.0,0,2,45.121659986674786,0.0
0.645,0.99841,1,1,0,,0.0,2,4.0,0,2,35.59164891839028,0.0
0.7295,0.99841,1,1,0,,0.0,3,4.0,0,2,28.60152971694867,0.0
0.7645,0.99841,1,1,0,,0.0,4,4.0,0,2,23.015273836751778,0.0
0.7899,0.99841,1,1,0,[],0.0,5,4.0,0,2,19.02011772294839,0.0
0.805,0.99841,1,1,0,,0.0,6,4.0,0,2,15.996163289745649,0.0
0.8246,0.99841,1,1,0,,0.0,7,4.0,0,2,13.891578981652856,0.0
0.8365,0.99841,1,1,0,,0.0,8,4.0,0,2,12.318150776003797,0.0
0.8459,0.99841,1,1,0,,0.0,9,4.0,0,2,11.267972918661933,0.0
0.8562,0.99841,1,1,0,[],0.0,10,4.0,0,2,10.381725093411903,0.0
0.8641,0.99841,1,1,0,,0.0,11,4.0,0,2,9.716567931696773,0.0
0.8688,0.99841,1,1,0,,0.0,12,4.0,0,2,9.148484594436983,0.0
0.8753,0.99841,1,1,0,,0.0,13,4.0,0,2,8.792629624747981,0.0
0.8784,0.99841,1,1,0,,0.0,14,4.0,0,2,8.308327617651473,0.0
0.8835,0.99841,1,1,0,[],0.0,15,4.0,0,2,8.09704116548722,0.0
0.8867,0.99841,1,1,0,,0.0,16,4.0,0,2,7.747543689298133,0.0
0.8899,0.99841,1,1,0,,0.0,17,4.0,0,2,7.506516248670717,0.0
0.8909,0.99841,1,1,0,,0.0,18,4.0,0,2,7.213689703385656,0.0
0.8932,0.99841,1,1,0,,0.0,19,4.0,0,2,7.115307910833508,0.0
0.8956,0.99841,1,1,0,[],0.0,20,4.0,0,2,6.8757654377880195,0.0
0.8954,0.99841,1,1,0,,0.0,21,4.0,0,2,6.9133704393791655,0.0
0.898,0.99841,1,1,0,,0.0,22,4.0,0,2,6.675563400456061,0.0
0.9003,0.99841,1,1,0,,0.0,23,4.0,0,2,6.528502394352108,0.0
0.9006,0.99841,1,1,0,,0.0,24,4.0,0,2,6.357228258015433,0.0
0.9025,0.99841,1,1,0,[],0.0,25,4.0,0,2,6.235935423003199,0.0
0.9022,0.99841,1,1,0,,0.0,26,4.0,0,2,6.061541224247776,0.0
0.9035,0.99841,1,1,0,,0.0,27,4.0,0,2,6.019243006237472,0.0
0.9029,0.99841,1,1,0,,0.0,28,4.0,0,2,5.945951244553241,0.0
0.904,0.99841,1,1,0,,0.0,29,4.0,0,2,5.853147925444258,0.0
0.9054,0.99841,1,1,0,[],0.0,30,4.0,0,2,5.787480344452585,0.0
